params,overall_accuracy,overall_f1,periodicity_accuracy,temporal_stability_accuracy,coordination_accuracy,periodicity_f1,temporal_stability_f1,coordination_f1,periodicity_recall,temporal_stability_recall,coordination_recall,training_time
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7466666666666667,0.7208748114630468,0.68,0.84,0.72,0.6519230769230769,0.8214705882352941,0.6892307692307693,0.68,0.84,0.72,3.4295859336853027
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7200000000000001,0.6962473703949158,0.68,0.8,0.68,0.6666004962779156,0.7714285714285714,0.6507130434782609,0.68,0.8,0.68,2.959878921508789
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7200000000000001,0.7077015330348663,0.64,0.76,0.76,0.6773333333333333,0.7215384615384616,0.7242328042328041,0.64,0.76,0.76,3.7951979637145996
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7466666666666667,0.7351428433596174,0.72,0.76,0.76,0.7289920424403183,0.7341176470588234,0.7423188405797103,0.72,0.76,0.76,2.9182779788970947
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7600000000000001,0.730673371232511,0.76,0.76,0.76,0.7462488479262673,0.7215384615384616,0.7242328042328041,0.76,0.76,0.76,3.1245229244232178
"{'batch_size': 16, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.7600000000000001,0.7360490523968785,0.72,0.76,0.8,0.72,0.7215384615384616,0.7666086956521739,0.72,0.76,0.8,3.9889719486236572
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7866666666666667,0.7723764324474264,0.72,0.84,0.8,0.7289920424403183,0.8214705882352941,0.7666666666666667,0.72,0.84,0.8,3.0219860076904297
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7733333333333334,0.7568318763673604,0.72,0.8,0.8,0.7191397849462365,0.7714285714285714,0.7799272727272728,0.72,0.8,0.8,3.6209640502929688
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7066666666666667,0.6984642953270405,0.64,0.68,0.8,0.6658201058201059,0.6645378151260504,0.765034965034965,0.64,0.68,0.8,3.5335700511932373
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7200000000000001,0.7014660083877476,0.68,0.8,0.68,0.6822564102564103,0.7714285714285714,0.6507130434782609,0.68,0.8,0.68,3.080427885055542
"{'batch_size': 16, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7600000000000001,0.7534197493327928,0.72,0.8,0.76,0.7528205128205129,0.7790909090909091,0.7283478260869566,0.72,0.8,0.76,3.54695987701416
