params,overall_accuracy,overall_f1,periodicity_accuracy,temporal_stability_accuracy,coordination_accuracy,periodicity_f1,temporal_stability_f1,coordination_f1,periodicity_recall,temporal_stability_recall,coordination_recall,training_time
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7466666666666667,0.7249374281632347,0.72,0.8,0.72,0.7158312655086848,0.7714285714285714,0.6875524475524475,0.72,0.8,0.72,2.5990710258483887
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7200000000000001,0.6953854223071615,0.72,0.76,0.68,0.7139047619047619,0.7215384615384616,0.6507130434782609,0.72,0.76,0.68,3.0196731090545654
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7866666666666667,0.7598651443509015,0.8,0.76,0.8,0.791448275862069,0.7215384615384616,0.7666086956521739,0.8,0.76,0.8,3.097597122192383
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7333333333333334,0.7205501165501166,0.68,0.72,0.8,0.6822564102564103,0.7127272727272728,0.7666666666666667,0.68,0.72,0.8,3.034513235092163
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7333333333333334,0.7007651172357056,0.68,0.72,0.8,0.6357219251336899,0.7015384615384616,0.765034965034965,0.68,0.72,0.8,3.0450968742370605
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.68,0.6920830780472724,0.6,0.68,0.76,0.6376263736263736,0.6803619909502262,0.7582608695652175,0.6,0.68,0.76,3.123206853866577
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7333333333333334,0.7071351170568562,0.76,0.76,0.68,0.7491538461538461,0.7215384615384616,0.6507130434782609,0.76,0.76,0.68,2.6718881130218506
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7466666666666667,0.7221623674751304,0.72,0.76,0.76,0.7172964669738863,0.7215384615384616,0.7276521739130436,0.72,0.76,0.76,3.1069259643554688
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.64,0.639308497860251,0.52,0.68,0.72,0.5384615384615384,0.6895161290322581,0.6899478260869566,0.52,0.68,0.72,3.0492122173309326
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7333333333333334,0.7028017837235229,0.76,0.76,0.68,0.7361538461538462,0.7215384615384616,0.6507130434782609,0.76,0.76,0.68,3.129974126815796
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7066666666666667,0.6961066902446212,0.64,0.76,0.72,0.6767816091954023,0.7215384615384616,0.69,0.64,0.76,0.72,4.338623046875
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7600000000000001,0.7410921865553374,0.76,0.76,0.76,0.7649261083743844,0.7341176470588234,0.7242328042328041,0.76,0.76,0.76,3.4616479873657227
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7333333333333334,0.7144790033825591,0.6,0.84,0.76,0.5976774193548386,0.8174117647058823,0.7283478260869566,0.6,0.84,0.76,3.06961989402771
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7066666666666667,0.7032833253702818,0.56,0.8,0.76,0.6107692307692308,0.7714285714285714,0.7276521739130436,0.56,0.8,0.76,3.39493989944458
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.6933333333333334,0.6947484817288739,0.64,0.76,0.68,0.6658201058201059,0.7341176470588234,0.6843076923076923,0.64,0.76,0.68,3.338149070739746
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7466666666666667,0.7299934832192897,0.64,0.8,0.8,0.6442228739002932,0.7790909090909091,0.7666666666666667,0.64,0.8,0.8,3.312546968460083
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7466666666666667,0.735048285048285,0.72,0.72,0.8,0.7385714285714287,0.7015384615384616,0.765034965034965,0.72,0.72,0.8,3.3969857692718506
"{'batch_size': 32, 'conv_filters_1': 8, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.6666666666666666,0.6736314422335928,0.6,0.6,0.8,0.6243386243386243,0.6315207373271889,0.765034965034965,0.6,0.6,0.8,3.4131062030792236
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7066666666666667,0.6961401447089427,0.68,0.76,0.68,0.7035897435897437,0.7341176470588234,0.6507130434782609,0.68,0.76,0.68,2.9332149028778076
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7466666666666667,0.7277601410934743,0.68,0.8,0.76,0.6876190476190476,0.7714285714285714,0.7242328042328041,0.68,0.8,0.76,3.136173963546753
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7333333333333334,0.7311843240590044,0.72,0.8,0.68,0.7338823529411765,0.7790909090909091,0.6805797101449275,0.72,0.8,0.68,3.065706968307495
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7333333333333334,0.7173803912523377,0.68,0.76,0.76,0.6903713527851459,0.7341176470588234,0.7276521739130436,0.68,0.76,0.76,2.8786871433258057
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7466666666666667,0.7251653513902391,0.72,0.76,0.76,0.7263054187192118,0.7215384615384616,0.7276521739130436,0.72,0.76,0.76,3.094882011413574
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7333333333333334,0.7291627381393789,0.72,0.72,0.76,0.7263054187192118,0.734516129032258,0.7266666666666667,0.72,0.72,0.76,3.179471254348755
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7999999999999999,0.7752512645637966,0.72,0.84,0.84,0.7033333333333333,0.8174117647058823,0.8050086956521738,0.72,0.84,0.84,3.0493690967559814
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.6933333333333334,0.6672495358086756,0.6,0.72,0.76,0.5647885304659498,0.7127272727272728,0.7242328042328041,0.6,0.72,0.76,3.111266851425171
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.64,0.6156003779622793,0.48,0.76,0.68,0.4448275862068965,0.7512605042016807,0.6507130434782609,0.48,0.76,0.68,3.1117019653320312
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7466666666666667,0.7171794871794872,0.72,0.76,0.76,0.7033333333333333,0.7215384615384616,0.7266666666666667,0.72,0.76,0.76,3.139096975326538
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7733333333333334,0.7565274725274724,0.72,0.8,0.8,0.7314871794871795,0.7714285714285714,0.7666666666666667,0.72,0.8,0.8,3.250077724456787
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.6533333333333333,0.6641844742356251,0.6,0.68,0.68,0.6641025641025641,0.6645378151260504,0.663913043478261,0.6,0.68,0.68,3.1747241020202637
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7866666666666667,0.7693106329040994,0.76,0.8,0.8,0.7687356321839082,0.7714285714285714,0.7677676950998185,0.76,0.8,0.8,2.748682975769043
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7200000000000001,0.697115773115773,0.68,0.76,0.72,0.6822564102564103,0.7215384615384616,0.6875524475524475,0.68,0.76,0.72,3.2452518939971924
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.6933333333333334,0.6963981900452488,0.64,0.76,0.68,0.6707692307692308,0.7341176470588234,0.6843076923076923,0.64,0.76,0.68,4.47051215171814
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7466666666666667,0.731493780307822,0.68,0.84,0.72,0.683010752688172,0.8214705882352941,0.69,0.68,0.84,0.72,2.8878540992736816
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7200000000000001,0.7011832032701598,0.64,0.76,0.76,0.6543589743589743,0.7215384615384616,0.7276521739130436,0.64,0.76,0.76,3.2513859272003174
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.6933333333333334,0.682042328042328,0.64,0.72,0.72,0.6528571428571428,0.6857142857142857,0.7075555555555556,0.64,0.72,0.72,3.2314980030059814
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7200000000000001,0.7153246753246755,0.64,0.8,0.72,0.6853146853146853,0.7714285714285714,0.6892307692307693,0.64,0.8,0.72,2.7839407920837402
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7600000000000001,0.7464980383111612,0.68,0.84,0.76,0.6903713527851459,0.8214705882352941,0.7276521739130436,0.68,0.84,0.76,3.382619857788086
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.68,0.6685746352413018,0.56,0.76,0.72,0.5966329966329966,0.7215384615384616,0.6875524475524475,0.56,0.76,0.72,3.4931583404541016
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7200000000000001,0.7019609449514572,0.6,0.84,0.72,0.5976774193548386,0.8174117647058823,0.6907936507936507,0.6,0.84,0.72,2.9542200565338135
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7066666666666667,0.6794400235779546,0.72,0.76,0.64,0.7034482758620689,0.7215384615384616,0.6133333333333333,0.72,0.76,0.64,3.016517162322998
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7066666666666667,0.7074132730015084,0.56,0.84,0.72,0.6107692307692308,0.8214705882352941,0.69,0.56,0.84,0.72,3.563488006591797
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7466666666666667,0.7331503267973855,0.68,0.76,0.8,0.6986666666666665,0.7341176470588234,0.7666666666666667,0.68,0.76,0.8,2.901204824447632
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7600000000000001,0.7446520848995494,0.72,0.84,0.72,0.7289920424403183,0.8174117647058823,0.6875524475524475,0.72,0.84,0.72,3.4514942169189453
"{'batch_size': 32, 'conv_filters_1': 16, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.7200000000000001,0.7043320297523197,0.68,0.72,0.76,0.6996296296296296,0.6857142857142857,0.7276521739130436,0.68,0.72,0.76,3.409999132156372
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7200000000000001,0.6981830714088778,0.68,0.76,0.72,0.683010752688172,0.7215384615384616,0.69,0.68,0.76,0.72,3.060844898223877
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7600000000000001,0.745245041814757,0.72,0.8,0.76,0.7289920424403183,0.7790909090909091,0.7276521739130436,0.72,0.8,0.76,3.1927061080932617
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.6933333333333334,0.690825741070839,0.76,0.76,0.56,0.7598257080610021,0.7575,0.5551515151515152,0.76,0.76,0.56,3.472193717956543
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7599999999999999,0.7306533563055302,0.68,0.76,0.84,0.6496969696969697,0.7215384615384616,0.8207246376811593,0.68,0.76,0.84,2.985611915588379
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7200000000000001,0.688068783068783,0.56,0.8,0.8,0.5261111111111112,0.7714285714285714,0.7666666666666667,0.56,0.8,0.8,3.4728589057922363
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7466666666666667,0.741736163478099,0.56,0.8,0.88,0.5986493506493507,0.783225806451613,0.8433333333333333,0.56,0.8,0.88,3.451411008834839
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7866666666666666,0.7527306724534345,0.72,0.8,0.84,0.6745098039215687,0.7790909090909091,0.8045913043478261,0.72,0.8,0.84,2.923196792602539
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7466666666666667,0.7157450867355989,0.6,0.84,0.8,0.5647885304659498,0.8174117647058823,0.765034965034965,0.6,0.84,0.8,3.171147108078003
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 16, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.7333333333333334,0.7233463505803659,0.68,0.76,0.76,0.7007692307692308,0.7416176470588235,0.7276521739130436,0.68,0.76,0.76,3.523991107940674
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7466666666666667,0.7214594246852309,0.68,0.8,0.76,0.6666004962779156,0.7714285714285714,0.7263492063492063,0.68,0.8,0.76,2.835145950317383
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7200000000000001,0.6918971351229416,0.68,0.76,0.72,0.6666004962779156,0.7215384615384616,0.6875524475524475,0.68,0.76,0.72,3.110337018966675
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.7200000000000001,0.7042024642024641,0.68,0.76,0.72,0.6909372979961216,0.7341176470588234,0.6875524475524475,0.68,0.76,0.72,3.5556437969207764
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7466666666666667,0.7386820586820586,0.64,0.8,0.8,0.6763636363636363,0.7714285714285714,0.7682539682539682,0.64,0.8,0.8,4.663974285125732
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7600000000000001,0.7399462759462759,0.68,0.8,0.8,0.6822564102564103,0.7714285714285714,0.7661538461538462,0.68,0.8,0.8,3.376995801925659
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7066666666666667,0.7102703605005395,0.68,0.68,0.76,0.6909372979961216,0.6645378151260504,0.7753359683794465,0.68,0.68,0.76,3.537073850631714
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7200000000000001,0.6878205128205129,0.68,0.76,0.72,0.6519230769230769,0.7215384615384616,0.69,0.68,0.76,0.72,2.8128418922424316
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7200000000000001,0.7168096101429434,0.64,0.8,0.72,0.6914478114478113,0.7714285714285714,0.6875524475524475,0.64,0.8,0.72,3.537226915359497
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 32, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.6666666666666666,0.6740547295841414,0.6,0.68,0.72,0.6376263736263736,0.6645378151260504,0.72,0.6,0.68,0.72,3.4916651248931885
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.001}",0.7733333333333333,0.7625631161109423,0.68,0.8,0.84,0.7035897435897437,0.7790909090909091,0.8050086956521738,0.68,0.8,0.84,2.882554769515991
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0005}",0.7466666666666667,0.7302539544707285,0.72,0.76,0.76,0.7289920424403183,0.7341176470588234,0.7276521739130436,0.72,0.76,0.76,3.265231132507324
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.2, 'learning_rate': 0.0001}",0.6666666666666666,0.6816221300438693,0.6,0.72,0.68,0.6495104895104896,0.7446428571428573,0.6507130434782609,0.6,0.72,0.68,3.7198450565338135
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.001}",0.7333333333333334,0.7204735597199364,0.68,0.76,0.76,0.7115343915343915,0.7215384615384616,0.7283478260869566,0.68,0.76,0.76,2.600442886352539
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0005}",0.7600000000000001,0.7354761904761905,0.68,0.8,0.8,0.6683333333333333,0.7714285714285714,0.7666666666666667,0.68,0.8,0.8,3.614107847213745
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.3, 'learning_rate': 0.0001}",0.7066666666666667,0.7017508331711232,0.64,0.72,0.76,0.6772193732193732,0.6857142857142857,0.7423188405797103,0.64,0.72,0.76,3.8053829669952393
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.001}",0.7333333333333334,0.7091232423490488,0.72,0.76,0.72,0.7158312655086848,0.7215384615384616,0.69,0.72,0.76,0.72,3.124385118484497
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0005}",0.7733333333333333,0.7528978924457185,0.68,0.8,0.84,0.6822564102564103,0.7714285714285714,0.8050086956521738,0.68,0.8,0.84,3.552446126937866
"{'batch_size': 32, 'conv_filters_1': 32, 'conv_filters_2': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001}",0.7066666666666667,0.7100016300834716,0.6,0.76,0.76,0.6376263736263736,0.7341176470588234,0.7582608695652175,0.6,0.76,0.76,3.768109083175659
